@relation 'Sound_Gestures: -C 2'
@attribute 'gesture' {'tap', 'slap', 'stroke', 'tickle'}
@attribute 'place' {'head', 'body_left', 'body_right'}
@attribute 'pitchFFT_1' numeric
@attribute 'pitchFFTMin_1' numeric
@attribute 'pitchFFTMax_1' numeric
@attribute 'pitchFFTDif_1' numeric
@attribute 'pitchAutocorrelation_1' numeric
@attribute 'pitchAutocorrelationMin_1' numeric
@attribute 'pitchAutocorrelationMax_1' numeric
@attribute 'pitchAutocorrelationDif_1' numeric
@attribute 'pitchWavelet_1' numeric
@attribute 'pitchWaveletMin_1' numeric
@attribute 'pitchWaveletMax_1' numeric
@attribute 'pitchWaveletDif_1' numeric
@attribute 'centroide_1' numeric
@attribute 'centroideMin_1' numeric
@attribute 'centroideMax_1' numeric
@attribute 'centroideDif_1' numeric
@attribute 'rollOff_1' numeric
@attribute 'rollOffMin_1' numeric
@attribute 'rollOffMax_1' numeric
@attribute 'rollOffDif_1' numeric
@attribute 'ganancia_1' numeric
@attribute 'flux_1' numeric
@attribute 'fluxMin_1' numeric
@attribute 'fluxMax_1' numeric
@attribute 'fluxDif_1' numeric
@attribute 'SNR_1' numeric
@attribute 'SNRMax_1' numeric
@attribute 'zeroXMean_1' numeric
@attribute 'ZCRmin_1' numeric
@attribute 'ZCRmax_1' numeric
@attribute 'ZCRmax - ZCRmin_1' numeric
@attribute 'numWordsMinute_1' numeric
@attribute 'duration_1' numeric
@attribute 'pitchFFT_2' numeric
@attribute 'pitchFFTMin_2' numeric
@attribute 'pitchFFTMax_2' numeric
@attribute 'pitchFFTDif_2' numeric
@attribute 'pitchAutocorrelation_2' numeric
@attribute 'pitchAutocorrelationMin_2' numeric
@attribute 'pitchAutocorrelationMax_2' numeric
@attribute 'pitchAutocorrelationDif_2' numeric
@attribute 'pitchWavelet_2' numeric
@attribute 'pitchWaveletMin_2' numeric
@attribute 'pitchWaveletMax_2' numeric
@attribute 'pitchWaveletDif_2' numeric
@attribute 'centroide_2' numeric
@attribute 'centroideMin_2' numeric
@attribute 'centroideMax_2' numeric
@attribute 'centroideDif_2' numeric
@attribute 'rollOff_2' numeric
@attribute 'rollOffMin_2' numeric
@attribute 'rollOffMax_2' numeric
@attribute 'rollOffDif_2' numeric
@attribute 'ganancia_2' numeric
@attribute 'flux_2' numeric
@attribute 'fluxMin_2' numeric
@attribute 'fluxMax_2' numeric
@attribute 'fluxDif_2' numeric
@attribute 'SNR_2' numeric
@attribute 'SNRMax_2' numeric
@attribute 'zeroXMean_2' numeric
@attribute 'ZCRmin_2' numeric
@attribute 'ZCRmax_2' numeric
@attribute 'ZCRmax - ZCRmin_2' numeric
@attribute 'numWordsMinute_2' numeric
@attribute 'duration_2' numeric
@attribute 'pitchFFT_3' numeric
@attribute 'pitchFFTMin_3' numeric
@attribute 'pitchFFTMax_3' numeric
@attribute 'pitchFFTDif_3' numeric
@attribute 'pitchAutocorrelation_3' numeric
@attribute 'pitchAutocorrelationMin_3' numeric
@attribute 'pitchAutocorrelationMax_3' numeric
@attribute 'pitchAutocorrelationDif_3' numeric
@attribute 'pitchWavelet_3' numeric
@attribute 'pitchWaveletMin_3' numeric
@attribute 'pitchWaveletMax_3' numeric
@attribute 'pitchWaveletDif_3' numeric
@attribute 'centroide_3' numeric
@attribute 'centroideMin_3' numeric
@attribute 'centroideMax_3' numeric
@attribute 'centroideDif_3' numeric
@attribute 'rollOff_3' numeric
@attribute 'rollOffMin_3' numeric
@attribute 'rollOffMax_3' numeric
@attribute 'rollOffDif_3' numeric
@attribute 'ganancia_3' numeric
@attribute 'flux_3' numeric
@attribute 'fluxMin_3' numeric
@attribute 'fluxMax_3' numeric
@attribute 'fluxDif_3' numeric
@attribute 'SNR_3' numeric
@attribute 'SNRMax_3' numeric
@attribute 'zeroXMean_3' numeric
@attribute 'ZCRmin_3' numeric
@attribute 'ZCRmax_3' numeric
@attribute 'ZCRmax - ZCRmin_3' numeric
@attribute 'numWordsMinute_3' numeric
@attribute 'duration_3' numeric
@data
'tap','head',344.531,344.531,344.531,0,711.29,711.29,711.29,0,0,0,0,0,1120.17,1120.17,1120.17,0,516.797,516.797,516.797,0,0.422,0,0,0,0,268.662,268.662,5,5,5,0,0,603.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',430.664,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,1707.63,1641.88,1773.39,131.513,516.797,516.797,516.797,0,0.283,0.7193,0.4387,1,0.5613,182.765,320.012,6.5,5,8,3,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',459.375,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,2081.3,1337.32,3234.21,1896.88,746.484,516.797,1205.86,689.062,0.1725,0.6516,0.4381,0.7689,0.3307,107.228,260.815,14.3333,5,30,25,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',344.531,344.531,344.531,0,711.29,711.29,711.29,0,0,0,0,0,2825.71,2712.01,2939.42,227.409,1550.39,1205.86,1894.92,689.062,0.2288,0.5437,0.4743,0.6132,0.1388,172.021,295.634,20,17,23,6,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',459.375,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,2211.47,1571.25,2641.48,1070.22,918.75,689.062,1033.59,344.531,0.1271,0.4902,0.4232,0.5997,0.1765,99.4802,149.488,13,6,17,11,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',459.375,344.531,516.797,172.266,861.036,711.29,1160.53,449.236,0,0,0,0,2248.37,1209.6,3076.97,1867.38,1091.02,689.062,1550.39,861.328,0.1339,0.4897,0.3197,0.6373,0.3175,104.014,255.151,12.6667,9,18,9,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',459.375,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,2231.44,1520.64,2725.5,1204.86,918.75,689.062,1033.59,344.531,0.1663,0.5173,0.3448,0.7107,0.3659,128.905,180.482,13.6667,9,17,8,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',430.664,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,2497.07,2280.64,2713.49,432.855,861.328,861.328,861.328,0,0.2492,0.6593,0.5873,0.7313,0.1439,152.755,276.285,16,11,21,10,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',516.797,344.531,689.062,344.531,711.29,711.29,711.29,0,0,0,0,0,2264.8,1993.46,2536.14,542.679,861.328,861.328,861.328,0,0.2215,0.6069,0.4851,0.7286,0.2435,179.309,301.616,10.5,7,14,7,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',631.641,172.266,1033.59,861.328,837.347,711.29,918.75,207.46,0,0,0,0,2096.42,1324.99,2625.48,1300.49,861.328,516.797,1205.86,689.062,0.1151,0.6651,0.6306,0.7185,0.0879,98.8815,253.744,10.3333,9,11,2,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',976.172,516.797,1722.66,1205.86,1021.1,711.29,1470,758.71,0,0,0,0,2217.61,1731.58,2763.97,1032.39,1148.44,689.062,1722.66,1033.59,0.1032,0.7459,0.5321,1.0134,0.4813,97.1988,193.978,14,7,20,13,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',430.664,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,2138.62,1767.14,2510.11,742.975,1033.59,689.062,1378.12,689.062,0.1447,0.751,0.7254,0.7765,0.0511,111.416,196.143,9.5,9,10,1,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',459.375,344.531,516.797,172.266,933.568,711.29,1378.12,666.835,0,0,0,0,1870.53,1477.67,2283.75,806.08,918.75,689.062,1378.12,689.062,0.1112,0.5183,0.3279,0.6733,0.3454,95.2174,157.81,11.6667,7,17,10,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',430.664,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,1830.65,1758.82,1902.49,143.672,689.062,689.062,689.062,0,0.2149,0.6608,0.5736,0.7481,0.1745,142.242,254.269,6.5,5,8,3,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',401.953,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,1912.77,1717.1,2274.29,557.186,803.906,516.797,1205.86,689.062,0.1232,0.4643,0.3401,0.5494,0.2094,91.2342,196.405,11.6667,8,18,10,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',459.375,344.531,516.797,172.266,756.886,711.29,848.077,136.787,0,0,0,0,1828.32,1258.91,2126.28,867.378,803.906,689.062,861.328,172.266,0.1625,0.5355,0.3861,0.7313,0.3452,106.52,280.987,6.3333,6,7,1,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',516.797,516.797,516.797,0,711.29,711.29,711.29,0,0,0,0,0,2284.05,2254.96,2313.15,58.1899,1033.59,861.328,1205.86,344.531,0.1889,0.408,0.374,0.4419,0.0678,146.316,198.54,13.5,12,15,3,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',401.953,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,1795.64,1376.17,2176.88,800.712,803.906,689.062,1033.59,344.531,0.2102,0.5681,0.4245,0.6794,0.2549,149.584,331.696,10.3333,10,11,1,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',516.797,344.531,689.062,344.531,711.29,711.29,711.29,0,0,0,0,0,1831.95,1295.21,2142.68,847.464,746.484,689.062,861.328,172.266,0.1752,0.6025,0.3319,0.907,0.5751,129.967,255.952,8.6667,4,14,10,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',344.531,344.531,344.531,0,711.29,711.29,711.29,0,0,0,0,0,1970.02,1903.07,2036.98,133.911,775.195,689.062,861.328,172.266,0.207,0.6005,0.5749,0.626,0.0511,155.381,257.688,11,8,14,6,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',689.062,516.797,861.328,344.531,711.29,711.29,711.29,0,0,0,0,0,2227.44,1534.56,2652.68,1118.12,1205.86,861.328,1550.39,689.062,0.1367,0.7639,0.6971,0.8682,0.1711,116.221,226.265,13,11,16,5,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',401.953,344.531,516.797,172.266,746.416,711.29,816.667,105.376,0,0,0,0,1751.36,1212.23,2351.52,1139.29,689.062,516.797,861.328,344.531,0.143,0.5247,0.3317,0.6917,0.3601,100.487,228.848,16,6,30,24,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',689.062,516.797,861.328,344.531,711.29,711.29,711.29,0,0,0,0,0,2301.54,1419.9,2744.16,1324.26,1091.02,861.328,1378.12,516.797,0.1443,0.575,0.4591,0.6557,0.1966,111.295,237.167,14,8,18,10,0,615.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',430.664,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,1752.71,1729.22,1776.2,46.9866,602.93,516.797,689.062,172.266,0.2595,0.7181,0.5445,0.8916,0.3471,170.115,306.657,6.5,5,8,3,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',430.664,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,2511.41,2330.52,2692.3,361.783,1033.59,861.328,1205.86,344.531,0.2141,0.6264,0.4624,0.7905,0.3281,175.944,298.592,13,12,14,2,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',430.664,344.531,516.797,172.266,711.29,711.29,711.29,0,0,0,0,0,1599.71,1504.97,1694.46,189.489,602.93,516.797,689.062,172.266,0.2551,0.7299,0.6848,0.7749,0.0901,168.219,304.691,6.5,5,8,3,0,609.524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
