@relation InstanceResultListener

@attribute Key_Dataset {'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1'}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes,weka.classifiers.bayes.HMM,weka.classifiers.lazy.IBk,weka.classifiers.misc.HyperPipes,weka.classifiers.misc.CHIRP,weka.classifiers.rules.JRip,weka.classifiers.rules.FURIA,weka.classifiers.functions.Dl4jMlpClassifier,weka.classifiers.functions.SMO,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.functions.NeuralNetwork,weka.classifiers.meta.Stacking}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-C 0.25 -M 2','','\"-S 6\" \"-I 0.01\" \"-C FULL\" -Dfalse -Lfalse -Rfalse','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-V 7 -S 1','-F 3 -N 2.0 -O 2 -S 1','-F 3 -N 2.0 -O 2 -S 1 -p 0 -s 0','-S 1 -iterator \"weka.dl4j.iterators.DefaultInstancesIterator -bs 1\" -layer \"weka.dl4j.layers.OutputLayer -activation \\\"weka.dl4j.activations.ActivationSoftmax \\\" -adamMeanDecay 0.9 -adamVarDecay 0.999 -biasInit 1.0 -l1Bias 0.0 -l2Bias 0.0 -blr 0.01 -dist \\\"weka.dl4j.distribution.NormalDistribution -mean 0.001 -std 1.0\\\" -dropout 0.0 -epsilon 1.0E-6 -gradientNormalization None -gradNormThreshold 1.0 -L1 0.0 -L2 0.0 -name \\\"Output layer\\\" -lr 0.01 -lossFn \\\"weka.dl4j.lossfunctions.LossMCXENT \\\" -momentum 0.9 -rho 0.0 -rmsDecay 0.95 -updater NESTEROVS -weightInit XAVIER\" -logFile /Users/enterprise -numEpochs 10 -algorithm STOCHASTIC_GRADIENT_DESCENT','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-lr 0.0 -wp 1.0E-8 -mi 1000 -bs 0 -th 0 -hl 100 -di 0.2 -dh 0.5 -iw 0','-X 10 -M \"weka.classifiers.rules.ZeroR \" -S 1 -num-slots 1 -B \"weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1\" -B \"weka.classifiers.rules.FURIA -F 3 -N 2.0 -O 2 -S 1 -p 0 -s 0\"'}
@attribute Key_Scheme_version_ID {1116839470751428698,-217733168393644444,5995231201785697655,1959669739718119361,-3080186098777067172,-7527596632268975274,-7695705059259069157,-6589312996832147161,-6363254116597574265,-6585883636378691736,-5990607817048210779,2378254486583093360,5134738557155845452}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 199\nSize of the tree: 397\n','Number of leaves: 219\nSize of the tree: 437\n','Number of leaves: 227\nSize of the tree: 453\n','Number of leaves: 213\nSize of the tree: 425\n','Number of leaves: 204\nSize of the tree: 407\n','Number of leaves: 196\nSize of the tree: 391\n','Number of leaves: 193\nSize of the tree: 385\n','Number of leaves: 234\nSize of the tree: 467\n','Number of leaves: 187\nSize of the tree: 373\n','Number of leaves: 225\nSize of the tree: 449\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1731,3214,358,313,45,0,87.430168,12.569832,0,0.83239,0.139372,0.233741,37.186265,53.993921,715.607232,1298.715956,-583.108725,1.998903,3.627698,-1.628795,513.554124,1.434509,25694.339267,0.817204,76,0.049057,13,0.950943,252,0.182796,17,0.853933,0.817204,0.835165,0.77936,0.960114,0.905689,0.874302,0.041287,0.958713,0.125698,0.874684,0.874302,0.874067,0.832904,0.966668,0.917431,0.87315,0.874302,3.359,0.036,3.120431,0.035803,3120.431,35.803,7234376,2671375,303751,98.603352,62.360335,?,-1,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1731,3214,358,300,58,0,83.798883,16.201117,0,0.784082,0.145908,0.244721,38.930515,56.530706,715.597111,244.39515,471.201961,1.998875,0.682668,1.316207,499.038074,1.393961,24968.031766,0.73913,68,0.041353,11,0.958647,255,0.26087,24,0.860759,0.73913,0.795322,0.735251,0.948451,0.895051,0.837989,0.053139,0.946861,0.162011,0.84076,0.837989,0.837453,0.785477,0.96214,0.912876,0.836908,0.837989,3.375,0.027,2.978679,0.025342,2978.679,25.342,7161090,2671375,303751,99.441341,63.198324,?,-1,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1731,3215,357,309,48,0,86.554622,13.445378,0,0.820776,0.139076,0.23736,37.109105,54.832699,713.526403,1300.679519,-587.153117,1.998673,3.64336,-1.644687,508.251168,1.423673,25428.702321,0.826087,76,0.033962,9,0.966038,256,0.173913,16,0.894118,0.826087,0.858757,0.813423,0.967966,0.914817,0.865546,0.043485,0.956515,0.134454,0.868954,0.865546,0.866052,0.823042,0.965992,0.921529,0.86421,0.865546,3.233,0.028,3.004244,0.027033,3004.244,27.033,7107624,2672204,302922,99.159664,62.605042,?,-1,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1731,3215,357,305,52,0,85.434174,14.565826,0,0.805702,0.141485,0.239183,37.751881,55.253847,713.526403,1302.719945,-589.193543,1.998673,3.649075,-1.650402,505.649974,1.416386,25298.56,0.826087,76,0.056604,15,0.943396,250,0.173913,16,0.835165,0.826087,0.830601,0.772244,0.960952,0.894262,0.854342,0.047893,0.952107,0.145658,0.854923,0.854342,0.854593,0.806607,0.966111,0.915577,0.853061,0.854342,3.232,0.029,2.966518,0.027333,2966.518,27.333,7217292,2672204,302922,99.159664,60.084034,?,-1,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1732,3215,357,307,50,0,85.994398,14.005602,0,0.813234,0.147955,0.24424,39.478408,56.42214,713.526403,1311.495958,-597.969556,1.998673,3.673658,-1.674985,495.780893,1.388742,24804.792464,0.836957,77,0.056604,15,0.943396,250,0.163043,15,0.836957,0.836957,0.836957,0.780353,0.966284,0.926657,0.859944,0.045666,0.954334,0.140056,0.861617,0.859944,0.86006,0.814714,0.963241,0.908668,0.858201,0.859944,3.019,0.034,2.881432,0.033059,2881.432,33.059,7135896,2672204,302922,98.59944,63.865546,?,-1,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1732,3215,357,305,52,0,85.434174,14.565826,0,0.805611,0.143403,0.241242,38.26386,55.729509,713.526403,1302.263449,-588.737047,1.998673,3.647797,-1.649123,502.490557,1.407537,25140.488798,0.793478,73,0.079245,21,0.920755,244,0.206522,19,0.776596,0.793478,0.784946,0.709275,0.951907,0.887828,0.854342,0.048502,0.951498,0.145658,0.854679,0.854342,0.853637,0.80613,0.965539,0.917048,0.852651,0.854342,3.493,0.042,3.179239,0.040665,3179.239,40.665,7161133,2672204,302922,99.719888,62.044818,?,-1,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1732,3215,357,291,66,0,81.512605,18.487395,0,0.753466,0.152367,0.258451,40.655585,59.705079,713.526403,266.354717,447.171685,1.998673,0.746092,1.252582,483.879109,1.355404,24209.325225,0.73913,68,0.079245,21,0.920755,244,0.26087,24,0.764045,0.73913,0.751381,0.667149,0.926579,0.868927,0.815126,0.061009,0.938991,0.184874,0.815923,0.815126,0.815294,0.754195,0.953068,0.887338,0.814317,0.815126,2.921,0.031,2.859336,0.028292,2859.336,28.292,6986238,2672204,302922,98.59944,61.134454,?,-1,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1732,3215,357,298,59,0,83.473389,16.526611,0,0.779782,0.14944,0.256673,39.874537,59.294371,713.526403,3471.569476,-2758.043073,1.998673,9.724284,-7.725611,488.779833,1.369131,24454.517107,0.76087,70,0.060377,16,0.939623,249,0.23913,22,0.813953,0.76087,0.786517,0.716451,0.946821,0.873297,0.834734,0.053542,0.946458,0.165266,0.841439,0.834734,0.836502,0.783435,0.949132,0.887458,0.834797,0.834734,2.791,0.03,2.717364,0.028849,2717.364,28.849,6994413,2672204,302922,98.039216,59.313725,?,-1,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20170922.1732,3215,357,305,52,0,85.434174,14.565826,0,0.805751,0.144958,0.240576,38.678675,55.575666,713.526403,1304.392516,-590.866114,1.998673,3.653761,-1.655087,500.687456,1.402486,25050.276453,0.858696,79,0.071698,19,0.928302,246,0.141304,13,0.806122,0.858696,0.831579,0.771307,0.953999,0.889721,0.854342,0.047822,0.952178,0.145658,0.862924,0.854342,0.856308,0.810058,0.967119,0.920093,0.855049,0.854342,2.952,0.027,2.846469,0.024714,2846.469,24.714,7133606,2672204,302922,98.59944,62.184874,?,-1,?,?,?
