@relation 'Sound_Gestures: -C 2'
@attribute 'gesture' {'tap', 'slap', 'stroke', 'tickle'}
@attribute 'place' {'head', 'left_arm', 'right_arm'}
@attribute 'pitchFFT_1' numeric
@attribute 'pitchFFTMin_1' numeric
@attribute 'pitchFFTMax_1' numeric
@attribute 'pitchFFTDif_1' numeric
@attribute 'pitchAutocorrelation_1' numeric
@attribute 'pitchAutocorrelationMin_1' numeric
@attribute 'pitchAutocorrelationMax_1' numeric
@attribute 'pitchAutocorrelationDif_1' numeric
@attribute 'pitchWavelet_1' numeric
@attribute 'pitchWaveletMin_1' numeric
@attribute 'pitchWaveletMax_1' numeric
@attribute 'pitchWaveletDif_1' numeric
@attribute 'centroide_1' numeric
@attribute 'centroideMin_1' numeric
@attribute 'centroideMax_1' numeric
@attribute 'centroideDif_1' numeric
@attribute 'rollOff_1' numeric
@attribute 'rollOffMin_1' numeric
@attribute 'rollOffMax_1' numeric
@attribute 'rollOffDif_1' numeric
@attribute 'ganancia_1' numeric
@attribute 'flux_1' numeric
@attribute 'fluxMin_1' numeric
@attribute 'fluxMax_1' numeric
@attribute 'fluxDif_1' numeric
@attribute 'SNR_1' numeric
@attribute 'SNRMax_1' numeric
@attribute 'zeroXMean_1' numeric
@attribute 'ZCRmin_1' numeric
@attribute 'ZCRmax_1' numeric
@attribute 'ZCRmax - ZCRmin_1' numeric
@attribute 'numWordsMinute_1' numeric
@attribute 'duration_1' numeric
@attribute 'pitchFFT_2' numeric
@attribute 'pitchFFTMin_2' numeric
@attribute 'pitchFFTMax_2' numeric
@attribute 'pitchFFTDif_2' numeric
@attribute 'pitchAutocorrelation_2' numeric
@attribute 'pitchAutocorrelationMin_2' numeric
@attribute 'pitchAutocorrelationMax_2' numeric
@attribute 'pitchAutocorrelationDif_2' numeric
@attribute 'pitchWavelet_2' numeric
@attribute 'pitchWaveletMin_2' numeric
@attribute 'pitchWaveletMax_2' numeric
@attribute 'pitchWaveletDif_2' numeric
@attribute 'centroide_2' numeric
@attribute 'centroideMin_2' numeric
@attribute 'centroideMax_2' numeric
@attribute 'centroideDif_2' numeric
@attribute 'rollOff_2' numeric
@attribute 'rollOffMin_2' numeric
@attribute 'rollOffMax_2' numeric
@attribute 'rollOffDif_2' numeric
@attribute 'ganancia_2' numeric
@attribute 'flux_2' numeric
@attribute 'fluxMin_2' numeric
@attribute 'fluxMax_2' numeric
@attribute 'fluxDif_2' numeric
@attribute 'SNR_2' numeric
@attribute 'SNRMax_2' numeric
@attribute 'zeroXMean_2' numeric
@attribute 'ZCRmin_2' numeric
@attribute 'ZCRmax_2' numeric
@attribute 'ZCRmax - ZCRmin_2' numeric
@attribute 'numWordsMinute_2' numeric
@attribute 'duration_2' numeric
@attribute 'pitchFFT_3' numeric
@attribute 'pitchFFTMin_3' numeric
@attribute 'pitchFFTMax_3' numeric
@attribute 'pitchFFTDif_3' numeric
@attribute 'pitchAutocorrelation_3' numeric
@attribute 'pitchAutocorrelationMin_3' numeric
@attribute 'pitchAutocorrelationMax_3' numeric
@attribute 'pitchAutocorrelationDif_3' numeric
@attribute 'pitchWavelet_3' numeric
@attribute 'pitchWaveletMin_3' numeric
@attribute 'pitchWaveletMax_3' numeric
@attribute 'pitchWaveletDif_3' numeric
@attribute 'centroide_3' numeric
@attribute 'centroideMin_3' numeric
@attribute 'centroideMax_3' numeric
@attribute 'centroideDif_3' numeric
@attribute 'rollOff_3' numeric
@attribute 'rollOffMin_3' numeric
@attribute 'rollOffMax_3' numeric
@attribute 'rollOffDif_3' numeric
@attribute 'ganancia_3' numeric
@attribute 'flux_3' numeric
@attribute 'fluxMin_3' numeric
@attribute 'fluxMax_3' numeric
@attribute 'fluxDif_3' numeric
@attribute 'SNR_3' numeric
@attribute 'SNRMax_3' numeric
@attribute 'zeroXMean_3' numeric
@attribute 'ZCRmin_3' numeric
@attribute 'ZCRmax_3' numeric
@attribute 'ZCRmax - ZCRmin_3' numeric
@attribute 'numWordsMinute_3' numeric
@attribute 'duration_3' numeric
@data
'tap','head',215.332,172.266,344.531,172.266,711.29,711.29,711.29,0,0,0,0,0,1858.57,1082.13,3626.27,2544.14,516.797,344.531,1033.59,689.062,0.0659,0.5104,0.1081,1.2006,1.0925,54.4869,89.5705,9,4,23,19,0,522.449,344.531,344.531,344.531,0,711.29,711.29,711.29,0,0,0,0,0,539.025,539.025,539.025,0,344.531,344.531,344.531,0,0.0221,0.4487,0.4487,0.4487,0,10.2675,10.2675,4,4,4,0,0,505.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',215.332,172.266,344.531,172.266,711.29,711.29,711.29,0,0,0,0,0,1568.35,803.597,2794.13,1990.53,344.531,344.531,344.531,0,0.0737,0.4068,0.1233,1.107,0.9837,46.559,72.6083,5,3,10,7,0,522.449,172.266,172.266,172.266,0,711.29,711.29,711.29,0,0,0,0,0,405.16,396.808,413.511,16.7028,172.266,172.266,172.266,0,0.0301,0.4819,0.4521,0.5117,0.0597,12.5564,13.7374,2.5,2,3,1,0,510.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',344.531,344.531,344.531,0,723.145,711.29,735,23.7097,0,0,0,0,3358.03,1527.62,5188.44,3660.82,2067.19,344.531,3789.84,3445.31,0.0546,0.8016,0.5164,1.0868,0.5703,44.2198,53.8311,22.5,6,39,33,0,510.839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',206.719,172.266,344.531,172.266,711.29,711.29,711.29,0,0,0,0,0,1708.25,738.868,3711.45,2972.58,413.438,344.531,689.062,344.531,0.0923,0.406,0.1168,1.1046,0.9878,73.2056,144.124,8.2,3,26,23,0,528.254,172.266,172.266,172.266,0,711.29,711.29,711.29,0,0,0,0,0,439.791,439.791,439.791,0,172.266,172.266,172.266,0,0.0236,0.4778,0.4778,0.4778,0,10.7407,10.7407,2,2,2,0,0,505.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',172.266,172.266,172.266,0,711.29,711.29,711.29,0,0,0,0,0,1114.9,812.878,1416.71,603.831,344.531,344.531,344.531,0,0.118,0.3045,0.1169,0.6143,0.4974,76.1208,136.571,3,2,4,2,0,516.644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',229.688,172.266,344.531,172.266,711.29,711.29,711.29,0,0,0,0,0,2375.45,875.385,4858.14,3982.75,1550.39,344.531,3962.11,3617.58,0.0589,0.6984,0.3775,1.2654,0.8879,48.3485,72.4388,12.3333,2,31,29,0,516.644,344.531,344.531,344.531,0,711.29,711.29,711.29,0,0,0,0,0,300.51,300.51,300.51,0,0,0,0,0,0.0301,0.1677,0.1677,0.1677,0,10.4132,10.4132,0,0,0,0,0,505.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',1119.73,344.531,1894.92,1550.39,6615,2205,11025,8820,0,0,0,0,6964.09,6619.01,7309.17,690.159,7493.55,7235.16,7751.95,516.797,0.0107,0.9801,0.8797,1.0806,0.2009,14.2434,16.6413,63.5,61,66,5,0,574.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',990.527,344.531,1722.66,1378.12,1280.82,711.29,2004.55,1293.26,0,0,0,0,5795.68,2608.2,7261.92,4653.72,5340.23,516.797,7407.42,6890.62,0.0429,0.9056,0.5478,1.1184,0.5706,47.9854,100.689,52.5,8,81,73,0,563.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',393.75,172.266,1722.66,1550.39,896.041,711.29,2004.55,1293.26,0,0,0,0,1908.22,743.457,4773.66,4030.2,615.234,172.266,2411.72,2239.45,0.1068,0.4409,0.0769,1.2933,1.2164,75.98,186.98,9,3,32,29,0,568.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'tap','head',344.531,344.531,344.531,0,711.29,711.29,711.29,0,0,0,0,0,5917.96,5917.96,5917.96,0,6201.56,6201.56,6201.56,0,0.0377,1.2176,1.2176,1.2176,0,49.0165,49.0165,64,64,64,0,0,505.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
