@relation InstanceResultListener

@attribute Key_Dataset {'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1'}
@attribute Key_Run {1,2}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.NNge,weka.classifiers.trees.RandomForest,weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes,weka.classifiers.bayes.HMM,weka.classifiers.lazy.IBk,weka.classifiers.lazy.LocalKnn}
@attribute Key_Scheme_options {'-G 5 -I 5','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-C 0.25 -M 2','','\"-S 6\" \"-I 0.01\" \"-C FULL\" -Dfalse -Lfalse -Rfalse','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-M 1 -W 2 -L 100 -O -V 2'}
@attribute Key_Scheme_version_ID {4084742275553788972,1116839470751428698,-217733168393644444,5995231201785697655,1959669739718119361,-3080186098777067172,1}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 31\nSize of the tree: 61\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,1,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2499,278,273,5,0,98.201439,1.798561,0,0.973018,0.01199,0.109501,2.698232,23.229256,440.597205,5370,-4929.402795,1.584882,19.316547,-17.731665,429.705138,1.545702,27117.143919,0.989362,93,0,0,1,184,0.010638,1,1,0.989362,0.994652,0.991975,0.994681,0.992959,0.982014,0.008984,0.991016,0.017986,0.982383,0.982014,0.982068,0.97326,0.986515,0.970621,0.981992,0.982014,0.459,0.029,0.456563,0.028987,456.563,28.987,2404413,2078622,237413,98.201439,33.333333,?,?,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,2,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2499,278,275,3,0,98.920863,1.079137,0,0.983811,0.007194,0.084819,1.619075,17.995004,440.521372,3222,-2781.478628,1.584609,11.589928,-10.005319,434.010444,1.561189,27388.321676,0.989474,94,0,0,1,183,0.010526,1,1,0.989474,0.994709,0.992016,0.994737,0.993071,0.989209,0.005252,0.994748,0.010791,0.989288,0.989209,0.989229,0.983921,0.991978,0.982211,0.989127,0.989209,1.253,0.143,1.193733,0.139885,1193.733,139.885,3058799,2078622,237413,98.920863,33.333333,?,?,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,3,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2499,278,274,4,0,98.561151,1.438849,0,0.97841,0.009592,0.09794,2.158767,20.77884,440.521372,4296,-3855.478628,1.584609,15.453237,-13.868628,431.805794,1.553258,27249.196788,1,95,0.010929,2,0.989071,181,0,0,0.979381,1,0.989583,0.984214,0.994536,0.979381,0.985612,0.007179,0.992821,0.014388,0.98576,0.985612,0.98561,0.978576,0.989216,0.976267,0.985497,0.985612,0.513,0.036,0.502345,0.035149,502.345,35.149,2429701,2078622,237413,98.561151,33.333333,?,?,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,4,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2499,278,269,9,0,96.76259,3.23741,0,0.951423,0.021583,0.146911,4.857225,31.16826,440.521372,9666,-9225.478628,1.584609,34.769784,-33.185175,420.930749,1.514139,26562.924763,0.978947,93,0.005464,1,0.994536,182,0.021053,2,0.989362,0.978947,0.984127,0.975984,0.986741,0.975727,0.967626,0.016075,0.983925,0.032374,0.967904,0.967626,0.967636,0.951757,0.975776,0.947283,0.967382,0.967626,0.409,0.023,0.407094,0.022077,407.094,22.077,2354237,2078622,237413,96.76259,33.333333,?,?,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,5,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2499,278,276,2,0,99.280576,0.719424,0,0.989206,0.004796,0.069254,1.079383,14.692859,440.521372,2148,-1707.478628,1.584609,7.726619,-6.142009,436.163583,1.568934,27524.195994,1,95,0,0,1,183,0,0,1,1,1,1,1,1,0.992806,0.00353,0.99647,0.007194,0.992806,0.992806,0.992806,0.989275,0.994638,0.988058,0.992712,0.992806,0.456,0.022,0.455291,0.021058,455.291,21.058,2380205,2078622,237413,99.280576,33.333333,?,?,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,6,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2499,278,271,7,0,97.482014,2.517986,0,0.962211,0.016787,0.129563,3.777842,27.487822,440.521372,7518,-7077.478628,1.584609,27.043165,-25.458556,425.252089,1.529684,26835.623827,0.989474,94,0.010929,2,0.989071,181,0.010526,1,0.979167,0.989474,0.984293,0.976105,0.989272,0.972457,0.97482,0.01269,0.98731,0.02518,0.975177,0.97482,0.974746,0.962547,0.981065,0.958687,0.974582,0.97482,0.498,0.025,0.496072,0.025287,496.072,25.287,2405401,2078622,237413,97.482014,33.333333,?,?,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,7,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2499,278,269,9,0,96.76259,3.23741,0,0.95143,0.021583,0.146911,4.857225,31.16826,440.521372,9666,-9225.478628,1.584609,34.769784,-33.185175,420.937077,1.514162,26563.324055,0.989474,94,0.005464,1,0.994536,182,0.010526,1,0.989474,0.989474,0.989474,0.984009,0.992005,0.982655,0.967626,0.015902,0.984098,0.032374,0.967706,0.967626,0.967647,0.951719,0.975862,0.947331,0.967304,0.967626,0.468,0.025,0.466502,0.025512,466.502,25.512,2399941,2078622,237413,96.76259,33.333333,?,?,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,8,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2500,277,269,8,0,97.111913,2.888087,0,0.956673,0.019254,0.138758,4.333102,29.438572,438.940886,8592,-8153.059114,1.584624,31.018051,-29.433426,421.569548,1.521912,26603.26129,0.989474,94,0.005495,1,0.994505,181,0.010526,1,0.989474,0.989474,0.989474,0.983979,0.99199,0.982668,0.971119,0.014162,0.985838,0.028881,0.971458,0.971119,0.971117,0.957061,0.978478,0.952988,0.970849,0.971119,0.432,0.019,0.428118,0.017912,428.118,17.912,2349702,2079451,236584,97.111913,33.333333,?,?,?,?,?
'Sound_Gestures: -C 2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,1',1,9,weka.classifiers.rules.NNge,'-G 5 -I 5',4084742275553788972,20170922.1405,2500,277,272,5,0,98.194946,1.805054,0,0.972919,0.012034,0.109698,2.708189,23.273234,438.940886,5370,-4931.059114,1.584624,19.386282,-17.801657,428.058223,1.545337,27012.730865,1,95,0,0,1,182,0,0,1,1,1,1,1,1,0.981949,0.008803,0.991197,0.018051,0.981989,0.981949,0.98195,0.97314,0.986573,0.970358,0.981684,0.981949,0.492,0.029,0.484734,0.028657,484.734,28.657,2380008,2079451,236584,98.194946,33.333333,?,?,?,?,?
